# filename	format	extract	password	sha256	notes
basic.iso	ISO	true		6f4ddd00da821d285f85300af3a80d1403ba0307f73f5d20bf87cd7089dc31d3	ISO fixture created by hdiutil makehybrid
aaru-optical.mds	MDF	true		22e7644703dc01e10d8c560b0dd8815ad782fb56c4942decd622660c311d16ed	Alcohol MDS descriptor authored by Aaru 5.4.2 from a raw Mode 1 conversion of basic.iso; requires aaru-optical.mdf
aaru-optical.mdf	MDF	true		b9c6ec1e6b3adb6942053fe16393d8ddad3e4dedaf0cc37ef701f5c28c40d463	Alcohol MDF data authored by Aaru 5.4.2; entered with its sibling MDS descriptor
aaru-optical.ccd	CCD	true		1f7168786ce80b99cae2f156ac1e46d53de9cdc9f981bd6d7a86e7e8afef3cd1	CloneCD descriptor authored by Aaru 5.4.2 from a raw Mode 1 conversion of basic.iso; requires aaru-optical.img
mkdcdisc-basic.cdi	CDI	true		caeea206042d3ee33b56cc8dcdff24dcf8f2ba5356b453266cdc08680dc6f151	DiscJuggler CDI authored by open-source mkdcdisc from an ISO9660 payload; exercises absolute multisession extents
basic.deb	DEB	true		5264825b90cbf2783d51b22f9e44128da95b91e989e940b33ee59608dd66bc35	Debian ar package fixture
basic.ar	AR	true		34a2c895a68d40caf751194f8d76133c51599cafbae24d99f8706bce63bf2a1e	AR fixture created by the platform ar tool
basic.a	AR	true		34a2c895a68d40caf751194f8d76133c51599cafbae24d99f8706bce63bf2a1e	AR fixture under the .a extension
basic.lib	AR	true		34a2c895a68d40caf751194f8d76133c51599cafbae24d99f8706bce63bf2a1e	AR fixture under the .lib extension
basic.dmg	DMG	true		54140f315b20bd8eb419ab4bf6b57b572764b0269f688b1edf0b9ec479f675e2	Disk image fixture created by hdiutil create -srcfolder
basic.pkg	PKG	true		fdc4d8d26065681d379d01431ba92c85f7c75a89c99d86c42e38c3857e5a508c	Apple package fixture created by pkgbuild
basic.msi	MSI	true		25ac8057739cb5d3a697eb0425efe025240bfece372128f2cb594653d9c14acd	Windows Installer fixture created by wixl (msitools)
basic.vhd	VHD	true		9306fb565fe7c8835fa1b7d4489b4b92ec178bd50dd37507000eccec8c717a58	VPC disk image fixture: MBR + NTFS, qemu-img -O vpc (docker ntfs-3g populates)
basic.vmdk	VMDK	true		293d9d0409f70ab9a855255c719ce7496e6d91ab3af81f70f3f8557b00d605aa	VMware disk image fixture: superfloppy FAT32, qemu-img -O vmdk (mtools populates)
basic.udf	UDF	true		ab48200cacd12911aa6357e6957eea3eaaad415ba4824eb7ef31b7a7e3050ddb	UDF 2.01 optical fixture authored by mkudffs (docker) with a populated payload
basic.mtree	MTREE	true		600fb51264e01d7e906f9b8aa2a3d227bb882d517feefafe439625e86a19ec76	MTREE manifest fixture with directories, files, sizes, and a symlink
basic.tzap	TZAP	true		af14a43b1ada0526f54a8105292f5332637a0255ea3a98535938f8d544a89f2f	TZAP fixture created by zmanager-cli
basic.tzst	TAR.ZST	true		d399b8d62b45cdc796e7ac3b9f140b743e18058966ee65849c983a615e2d516d	Tar.ZST fixture under the .tzst extension
basic.aea	AAR	true		7c2dd23af8f0c54d4ce71a5b4bb795d67b00d0940ae36f92ca79894965f54c91	Apple Archive fixture under the .aea extension
basic.aar	AAR	true		7c2dd23af8f0c54d4ce71a5b4bb795d67b00d0940ae36f92ca79894965f54c91	Apple Archive fixture created by macOS aa
basic.txt.gz	RAW	true		3179eb3daa079ad64ad98c7b5a568a620297f794c115d2a9bbc93658713226bd	Raw gzip stream fixture
basic.txt.bz2	RAW	true		8c1005194a51b91b850467cb594cfebf18b5b8274b464e522556425c5fcf27b9	Raw bzip2 stream fixture
basic.txt.xz	RAW	true		5b2ef6b1d13e77f84273be149cf7d4e4ad62e5221243ff016345057b226da320	Raw xz stream fixture
basic.txt.lzma	RAW	true		0b8a969d569a100f991b2056672cd853d2bbfea548742d02e4f3b70a85999c93	Raw legacy LZMA stream fixture
basic.txt.zst	RAW	true		c1e89b8a9441cc18c7e1487e64dd495e268e0bbb39044f9fabbea483a044476c	Raw zstd stream fixture
basic.txt.lz	RAW	true		e36847561d794d02b150cd14fa200bdbd3526ac0273d969e70d64f782b0ba04c	Raw lzip stream fixture
basic.txt.br	RAW	true		cef9bf7c86914d3a45712c13888d55e2a2d150086b250c56f6edd8226ae5d7ec	Raw Brotli stream fixture
basic.txt.lz4	RAW	true		3b85708c233857cf00f9e86f9b0b369a8745b234ecabf6958045604440cbf574	Raw LZ4 stream fixture
basic.txt.lzo	RAW	true		a9c55fab58a26ff66fda30360694ba14d90dda9103d421a74185ffbb8e3dd773	Raw lzop stream fixture
basic.txt.Z	RAW	true		49e92ffb3df228f1f379913c93ec817c3a3f56d40bcfbce73dbc97e10a493f82	Raw Unix compress stream fixture
basic.txt.uu	RAW	true		b07435a808510a4da6d10a9eb59915a4a700c8d4c1af90fb95b58e71d05dee49	Raw uuencode stream fixture
basic.txt.b64	RAW	true		aa38a5dc83d2e476311df34b150994f00ac100cd3d9d725aceed22fa7b4c80ef	Raw base64 stream fixture
basic.tar.uu	TAR.UU	true		d56ff83c06d220b524d0ba7dd075418a82bad34bae861b291ca38518b7175216	Tar fixture encoded with uuencode
basic.tar.b64	TAR.B64	true		85489ac272a0c93c20b798dc37933988c5e01b5adaba68d3e9cb4fe7725f09cc	Tar fixture encoded with base64
basic.vdi	VDI	true		af2ee2abd194534b9fcf691a6a77585ae476d56db15523d344ba269ef4518757	Oracle VirtualBox disk image fixture: superfloppy FAT32, qemu-img -O vdi (mtools populates)
basic.squashfs	SQUASHFS	true		e94cce616b6efa3548fe8cb24b9b9a910905e5feb922739912764eeb0505f256	SquashFS fixture (xz) authored by mksquashfs
basic.sqfs	SQUASHFS	true		e94cce616b6efa3548fe8cb24b9b9a910905e5feb922739912764eeb0505f256	SquashFS fixture under the .sqfs extension
basic-xz.squashfs	SQUASHFS	true		e94cce616b6efa3548fe8cb24b9b9a910905e5feb922739912764eeb0505f256	SquashFS fixture compressed with xz, the dominant distribution choice
basic-gzip.squashfs	SQUASHFS	true		27108dfc2d1d45016c53d91651080b0d834313e6653a73b99188abfd4c5b7de6	SquashFS fixture compressed with gzip
basic-zstd.squashfs	SQUASHFS	true		bbcce311f7db05516c06a0078463c05dc1804dba7ccb1ba34bfd8bfa24d8ed02	SquashFS fixture compressed with zstd
basic.AppImage	APPIMAGE	true		1b72856a4803a7e9bb92992517b30df47b40c46d71f9c25a2b5bf3549183e731	Type-2 AppImage: ELF runtime with the SquashFS appended after the section-header table
basic.wim	WIM	true		3450921a6de58adf5c86f6bdd8d3418291650ea65f08ef788985dfc9906f3264	Uncompressed WIM authored by wimlib-imagex; decoded end to end
basic-none.wim	WIM	true		3450921a6de58adf5c86f6bdd8d3418291650ea65f08ef788985dfc9906f3264	Uncompressed WIM authored by wimlib-imagex
basic-LZX.wim	WIM	true		21a14648a7a0d53119d4c2d885ed35a6266062897678d0b1c75685cb2209b335	WIM-LZX image authored by wimlib-imagex
basic-XPRESS.wim	WIM	true		4150cac4ba6c213a107b977bec60ca2675e7f6623a4f04583aefc2ab64eb176f	XPRESS-Huffman WIM image authored by wimlib-imagex
multi-image.wim	WIM	true		6d21d369364f8de709d64a8450608656c50e7b7729d3679b109506af59f6448f	Two-image WIM: every image is exposed under its own imageN/ prefix
split.swm	WIM	true		1d1ce37cc3cc8bbc1a0f4d45fad9ea8510c97b941f6133dd14fd56d5da7ba53d	Split WIM set (with split2.swm) authored by wimlib-imagex split
basic.raw	RAWDISK	true		09644808acef641a9ccabb06b435b4b5a43388ab1f959ff58727f550e85788bb	Raw sector dump of basic.vdi's FAT32 volume (qemu-img convert)
basic.dd	RAWDISK	true		09644808acef641a9ccabb06b435b4b5a43388ab1f959ff58727f550e85788bb	basic.raw under the .dd extension
basic.dsk	RAWDISK	true		09644808acef641a9ccabb06b435b4b5a43388ab1f959ff58727f550e85788bb	basic.raw under the .dsk extension
basic.img	RAWDISK	true		09644808acef641a9ccabb06b435b4b5a43388ab1f959ff58727f550e85788bb	basic.raw under the .img extension
basic.vhdx	VHDX	true		1d82db0ff212f313109e3e19025a938cc8dd8727c916e12b11875e1360ef1615	Hyper-V VHDX wrapping basic.raw (qemu-img convert -O vhdx)
basic.qcow2	QCOW2	true		8cfff4a514b902eeb1f0d5760d97b53f11ee86a214109bf5728b4a03694e4e2d	Compressed QEMU qcow2 wrapping basic.raw
basic.qcow	QCOW2	true		8cfff4a514b902eeb1f0d5760d97b53f11ee86a214109bf5728b4a03694e4e2d	basic.qcow2 under the legacy .qcow extension
basic.e01	EWF	true		729d2f0f7edca2cba743523c850884ab966696fe766de590432c8a3f774faaaa	EWF v1 (EnCase 5/6) acquisition of basic.raw; scripts/make_ewf_fixtures.py
basic.ex01	EWF	true		1b0cfa8d1c5c4e62aeaa2105c001324807ed3b3a7ff5f1b7ce60c79115b1fd8e	EWF v2 (EnCase 7 Ex01) acquisition of basic.raw; scripts/make_ewf_fixtures.py
basic.aff4	AFF4	true		049ae58cc5540bf378c43074caf18168374bf3421a49586e8baff69cd2c07ad1	Physical AFF4 (aff4:ImageStream) over basic.raw; scripts/make_aff4_fixture.py
basic-logical.aff4	AFF4	true		373aa9c81c3f9527cb9f0c0a27864a379a19757571d3ccdc89abd9937da98af6	Logical AFF4 (aff4:FileImage) captured file tree; aff4-core testutil
basic.ad1	AD1	true		8fbedcfecc9e275883e73e2af900252496f910cd2bee5436f6785972c4f941e4	FTK Imager AD1 logical image of the payload/ tree; ad1-core testfix
basic.dar	DAR	true		60139b22c9024f553a6ff6a589cc618d2993e8d67bfa9c07231dfe073b5ed463	Single-slice DAR archive minted with the dar CLI 2.8.5 (hello.txt, sub_note.txt, sub/deep.txt)
lzx-longmatch.wim	WIM	true		297d9cd792b63db49852568ff2edcb732e026da78857ec7a93a35d84f409ff35	WIM-LZX long-match stress corpus: max-length runs, a repeated 64 KiB block, and repeated prose
